country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Republic Of Korea,2017,423320,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-south-korea.xlsx
Republic Of Korea,2018,410295,r,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-south-korea.xlsx
Republic Of Korea,2019,404000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2019-south-korea.xlsx
Romania,2015,1300,,2015,refined_primary,"Lead, refined > Primary",Metric tons unless otherwise specified,metric_tonnes,2,myb3-2015-rom.xls
Romania,2016,1300,,,refined_primary,"Lead, refinery production > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-216-ro.xlsx
Sweden,2015,26200,r,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-sweden.xlsx
Sweden,2016,28400,r,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-sweden.xlsx
Sweden,2017,28300,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Sweden-advrel.xlsx
Sweden,2018,28900,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Sweden-ert.xlsx
Sweden,2019,25900,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Sweden-ert.xlsx
Sweden,2020,27900,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Sweden-ert.xlsx
Sweden,2021,27100,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Sweden-ert.xlsx
Sweden,2022,29000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Sweden-ert.xlsx
United Kingdom,2015,149000,r,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-united-kingdom.xlsx
United Kingdom,2016,170000,r,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-united-kingdom.xlsx
United Kingdom,2017,227000,r,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-United Kingdom-advrel.xlsx
United Kingdom,2018,226000,r,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-United Kingdom-advrel.xlsx
United Kingdom,2019,229000,r,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-United Kingdom-advrel.xlsx
United Kingdom,2020,197000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-United Kingdom-advrel.xlsx
United Kingdom,2021,200000,e,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-United Kingdom-advrel.xlsx
